Project,Package,Class,Smell,Description,File
assignment,assignment.user,UsersManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/user/UsersManager.java
assignment,assignment.user,UsersManager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BASIC_USER_ID; users,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/user/UsersManager.java
