Project,Package,Class,Method,Smell,Description,Method start line no,File
assignment,assignment.cart,Product,Product,Long Parameter List,The method has 5 parameters. ,13,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/cart/Product.java
assignment,assignment.cart,Product,setFullDetailedProduct,Long Parameter List,The method has 8 parameters. ,79,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/cart/Product.java
assignment,assignment.user,User,User,Long Parameter List,The method has 7 parameters. ,22,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/user/User.java
assignment,assignment.user,User,printUserInfo,Long Statement,The length of the statement "if (logger.isLoggable(Level.INFO)) logger.info(String.format("User Info: %s %s (Username: %s)"`firstname`lastname`username));" is 125.,85,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/user/User.java
assignment,assignment.user,UsersManager,findUserFromDB,Long Statement,The length of the statement "try (Connection conn=DriverManager.getConnection("jdbc:mysql://localhost:3306/mydatabase"`BASIC_USER_ID + userID`System.getenv("DB_PASSWORD"));PreparedStatement stmt=conn.prepareStatement(query);ResultSet rs=stmt.executeQuery()){" is 229.,19,/mnt/d/Marianna/Documenti/GitHub/FIS/LAB2/assignment/app/src/main/java/assignment/user/UsersManager.java
